"filename", "language", "HTML", "PostCSS", "Markdown", "comment", "blank", "total"
"/Users/ethangreatorex/Library/CloudStorage/OneDrive-DerbyCollege/Y2/BeanAndBrew/Bean and Brew/Bean-BrewCollege/README.md", "Markdown", 0, 0, 4, 0, 3, 7
"/Users/ethangreatorex/Library/CloudStorage/OneDrive-DerbyCollege/Y2/BeanAndBrew/Bean and Brew/Bean-BrewCollege/src/about.html", "HTML", 235, 0, 0, 12, 14, 261
"/Users/ethangreatorex/Library/CloudStorage/OneDrive-DerbyCollege/Y2/BeanAndBrew/Bean and Brew/Bean-BrewCollege/src/bakedgoods.html", "HTML", 484, 0, 0, 5, 18, 507
"/Users/ethangreatorex/Library/CloudStorage/OneDrive-DerbyCollege/Y2/BeanAndBrew/Bean and Brew/Bean-BrewCollege/src/bakinglessons.html", "HTML", 226, 0, 0, 11, 11, 248
"/Users/ethangreatorex/Library/CloudStorage/OneDrive-DerbyCollege/Y2/BeanAndBrew/Bean and Brew/Bean-BrewCollege/src/booking.html", "HTML", 321, 0, 0, 9, 19, 349
"/Users/ethangreatorex/Library/CloudStorage/OneDrive-DerbyCollege/Y2/BeanAndBrew/Bean and Brew/Bean-BrewCollege/src/coffeeorder.html", "HTML", 437, 0, 0, 13, 15, 465
"/Users/ethangreatorex/Library/CloudStorage/OneDrive-DerbyCollege/Y2/BeanAndBrew/Bean and Brew/Bean-BrewCollege/src/css/styles.css", "PostCSS", 0, 262, 0, 0, 51, 313
"/Users/ethangreatorex/Library/CloudStorage/OneDrive-DerbyCollege/Y2/BeanAndBrew/Bean and Brew/Bean-BrewCollege/src/hampers.html", "HTML", 534, 0, 0, 24, 24, 582
"/Users/ethangreatorex/Library/CloudStorage/OneDrive-DerbyCollege/Y2/BeanAndBrew/Bean and Brew/Bean-BrewCollege/src/index.html", "HTML", 410, 0, 0, 3, 17, 430
"/Users/ethangreatorex/Library/CloudStorage/OneDrive-DerbyCollege/Y2/BeanAndBrew/Bean and Brew/Bean-BrewCollege/src/staff.html", "HTML", 340, 0, 0, 3, 6, 349
"Total", "-", 2987, 262, 4, 80, 178, 3511
